ID,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
19,Address: 300 Berry Street #813, San FranciscoSales price: 1000000Sales date: 02/17/2016Bedrooms: 2Square feet: 761Lot size: 41861,300 Berry St UNIT 813,1,1,761,02/17/2016,1000000,37.773929,-122.39624,South of Market,4,Condominium,2008,931039,"975,700",94158,96023519
24,Address: 370 Church Street #F, San FranciscoSales price: 888000Sales date: 02/16/2016Bedrooms: 1Square feet: 780Lot size: 18656,370 Church St APT F,1,1,780,08/12/2015,863000,37.765062,-122.429077,Eureka Valley - Dolores Heights - Castro,4,Condominium,1981,847894,"1,744,100",94114,15143549
25,Address: 10 22nd Avenue, San FranciscoSales price: 4888000Sales date: 02/16/2016Bedrooms: 5Square feet: 4296Lot size: 13812,10 22nd Ave,5,5,5786,02/16/2016,4888000,37.787088,-122.481741,Lake,12,SingleFamily,1926,7159444,"2,244,500",94121,15089099
26,Address: 1847 10th Avenue, San FranciscoSales price: 1000000Sales date: 02/16/2016Bedrooms: 1Square feet: 1688Lot size: 3000,1847 10th Ave,2,2,1688,02/16/2016,1000000,37.753756,-122.466995,Inner Sunset,6,SingleFamily,1927,1106369,"1,357,900",94122,15111864
27,Address: 442 Mangels Avenue, San FranciscoSales price: 210000Sales date: 02/16/2016Bedrooms: 0Square feet: 1619Lot size: 2495,442 Mangels Ave,3,4,1619,02/16/2016,210000,37.733307,-122.447605,Sunnyside,7,SingleFamily,1966,1483668,"1,038,200",94127,15137861
33,Address: 650 Turk Street #706, San FranciscoSales price: 525000Sales date: 02/12/2016Bedrooms: 1Square feet: 398Lot size: 15582,650 Turk St UNIT 706,1,0,398,02/12/2016,525000,37.782379,-122.420166,Van Ness - Civic Center,4,Condominium,2008,565702,"855,500",94102,82785510
34,Address: 66 Rondel Place, San FranciscoSales price: 2300000Sales date: 02/12/2016Bedrooms: 4Square feet: 2615Lot size: 1503,66 Rondel Pl,4.5,4,2615,02/12/2016,2300000,37.763849,-122.421259,Mission,9,SingleFamily,1906,1613306,"1,185,400",94103,15143880
35,Address: 1610 Sacramento Street #5, San FranciscoSales price: 1450000Sales date: 02/12/2016Bedrooms: 1Square feet: 1167Lot size: 4788,1610 Sacramento St APT 5,2,2,1252,02/12/2016,1450000,37.791904,-122.419806,Nob Hill,4,Condominium,2002,1386684,"1,459,200",94109,61288302
36,Address: 1536 Pacific Avenue #1, San FranciscoSales price: 2500000Sales date: 02/12/2016Bedrooms: 2Square feet: 1407Lot size: 5300,1536 Pacific Ave # 1,2,3,1444,02/12/2016,2500000,37.795383,-122.420623,Nob Hill,6,Condominium,2009,2125825,"1,459,200",94109,96039237
37,Address: 541 Prentiss Street, San FranciscoSales price: 171000Sales date: 02/12/2016Bedrooms: 0Square feet: 938Lot size: 1751,541 Prentiss St,2,3,1200,02/12/2016,171000,37.73639,-122.412103,Bernal Heights,5,SingleFamily,1953,1261487,"1,248,000",94110,15163972
38,Address: 31 Hartford Street, San FranciscoSales price: 871500Sales date: 02/12/2016Bedrooms: 0Square feet: 1265Lot size: 3271,31 Hartford St,1,2,1265,02/12/2016,871500,37.76207,-122.43369,Eureka Valley - Dolores Heights - Castro,5,Condominium,1902,1262136,"1,744,100",94114,15144391
40,Address: 1600 Webster Street #106, San FranciscoSales price: 900000Sales date: 02/12/2016Bedrooms: 1Square feet: 859Lot size: 18978,1600 Webster St APT 106,1,1,859,02/12/2016,900000,37.78568,-122.430955,Lower Pacific Heights,4,Condominium,2005,820965,"1,178,700",94115,64971357
41,Address: 233 18th Avenue, San FranciscoSales price: 1020000Sales date: 02/12/2016Bedrooms: 2Square feet: 1308Lot size: 2989,233 18th Ave,1,2,1308,02/12/2016,1020000,37.783586,-122.477794,Central Richmond,5,Condominium,1914,1077432,"1,485,300",94121,79845847
42,Address: 248 17th Avenue, San FranciscoSales price: 1410500Sales date: 02/12/2016Bedrooms: 2Square feet: 1429Lot size: 3000,248 17th Ave,1.5,2,1429,02/12/2016,1410500,37.783401,-122.476049,Central Richmond,6,Condominium,1922,1170744,"1,485,300",94121,79841409
43,Address: 1374 45th Avenue, San FranciscoSales price: 951000Sales date: 02/12/2016Bedrooms: 0Square feet: 1771Lot size: 4077,1374 45th Ave,1,3,1771,02/12/2016,951000,37.761002,-122.504565,Outer Sunset,8,SingleFamily,1905,956441,"1,031,800",94122,15103994
44,Address: 1087 Palou Avenue, San FranciscoSales price: 430000Sales date: 02/12/2016Bedrooms: 0Square feet: 1452Lot size: 1873,1087 Palou Ave,2,3,1452,02/12/2016,430000,37.728354,-122.381454,Bayview,8,SingleFamily,1900,536665,"731,900",94124,15153617
45,Address: 1486 Underwood Avenue, San FranciscoSales price: 680000Sales date: 02/12/2016Bedrooms: 0Square feet: 1115Lot size: 2500,1486 Underwood Ave,2,3,1115,02/12/2016,680000,37.728777,-122.389531,Bayview,6,SingleFamily,1931,631581,"731,900",94124,15154174
46,Address: 350 Lansdale Avenue, San FranciscoSales price: 1440000Sales date: 02/12/2016Bedrooms: 0Square feet: 2378Lot size: 9861,350 Lansdale Ave,3,3,2378,02/12/2016,1440000,37.735851,-122.458653,Westwood Highlands,8,SingleFamily,1940,1709182,"1,424,100",94127,15135745
47,Address: 120 Ulloa Street, San FranciscoSales price: 1700000Sales date: 02/12/2016Bedrooms: 3Square feet: 2063Lot size: 3101,120 Ulloa St,2.5,2,2063,02/12/2016,1700000,37.744348,-122.455305,Forest Hill Extension,10,SingleFamily,1937,1755644,"1,669,300",94127,15133658
48,Address: 159 Middlefield Drive, San FranciscoSales price: 234000Sales date: 02/12/2016Bedrooms: 3Square feet: 1970Lot size: 3301,159 Middlefield Dr,3,3,2200,02/12/2016,234000,37.731436,-122.486486,Lakeshore,6,SingleFamily,1950,1455842,"1,264,800",94132,15197928
49,Address: 8 Dunsmuir Street, San FranciscoSales price: 700000Sales date: 02/12/2016Bedrooms: 2Square feet: 1250Lot size: 2548,8 Dunsmuir St,1,2,1250,02/12/2016,700000,37.730809,-122.414514,Portola,5,SingleFamily,1936,964978,"888,400",94134,15165553
50,Address: 22 West View Avenue, San FranciscoSales price: 744000Sales date: 02/12/2016Bedrooms: 2Square feet: 970Lot size: 2495,22 W View Ave,1,2,970,02/12/2016,744000,37.730916,-122.418729,Portola,5,SingleFamily,1943,736105,"888,400",94134,15166504
57,Address: 4160 17th Street, San FranciscoSales price: 1100000Sales date: 02/11/2016Bedrooms: 1Square feet: 911Lot size: 2628,4160 17th St,2,2,911,02/11/2016,1100000,37.762498,-122.438686,Corona Heights,4,Condominium,1904,938211,"1,475,100",94114,82789821
59,Address: 1315 21st Avenue, San FranciscoSales price: 1325000Sales date: 02/11/2016Bedrooms: 0Square feet: 1416Lot size: 2374,1315 21st Ave,1.25,2,1621,02/11/2016,1325000,37.763108,-122.479527,Central Sunset,6,SingleFamily,1911,1225848,"1,125,700",94122,15103026
60,Address: 4229 26th Street, San FranciscoSales price: 2525000Sales date: 02/11/2016Bedrooms: 3Square feet: 2398Lot size: 2736,4229 26th St,3,3,2048,02/11/2016,2525000,37.747788,-122.434812,Noe Valley,7,SingleFamily,1900,2641338,"1,782,000",94131,15181667
70,Address: 361 Texas Street, San FranciscoSales price: 2300000Sales date: 02/10/2016Bedrooms: 2Square feet: 1880Lot size: 2495,361 Texas St,2,3,2080,02/10/2016,2300000,37.761845,-122.395171,Potrero Hill,7,SingleFamily,1906,2058271,"1,277,600",94107,15149547
71,Address: 667 Shotwell Street #A, San FranciscoSales price: 775000Sales date: 02/10/2016Bedrooms: 2Square feet: 1212Lot size: 0,667 Shotwell St # A,1,1,1212,02/10/2016,775000,37.757851,-122.415629,Mission,4,Condominium,1890,1197178,"1,185,400",94110,123597388
72,Address: 2919 Pacific Avenue #6, San FranciscoSales price: 1457000Sales date: 02/10/2016Bedrooms: 2Square feet: 1125Lot size: 6851,2919 Pacific Ave APT 6,2,2,1125,02/10/2016,1457000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,1488108,"1,910,700",94115,15081126
74,Address: 2455 14th Avenue, San FranciscoSales price: 1525000Sales date: 02/10/2016Bedrooms: 3Square feet: 1700Lot size: 4046,2455 14th Ave,3.75,4,1846,02/10/2016,1525000,37.742271,-122.470518,West Portal,5,SingleFamily,1932,1195679,"1,565,000",94116,15122857
75,Address: 30 Beaumont Avenue, San FranciscoSales price: 550000Sales date: 02/10/2016Bedrooms: 3Square feet: 1164Lot size: 2863,30 Beaumont Ave,1,3,1164,02/10/2016,550000,37.780933,-122.454866,Lone Mountain,6,SingleFamily,1922,1247699,"1,447,700",94118,15083789
76,Address: 108 16th Avenue, San FranciscoSales price: 3800000Sales date: 02/10/2016Bedrooms: 7Square feet: 4808Lot size: 2750,108 16th Ave,5,7,4808,02/10/2016,3800000,37.785945,-122.475319,Lake,15,MultiFamily2To4,1914,4498161,"2,244,500",94118,15090052
77,Address: 766 30th Avenue, San FranciscoSales price: 1900000Sales date: 02/10/2016Bedrooms: 5Square feet: 2520Lot size: 3000,766 30th Ave,4,4,2520,02/10/2016,1900000,37.774837,-122.489397,Central Richmond,8,SingleFamily,1927,1931715,"1,485,300",94121,15097411
86,Address: 601 Van Ness Avenue #629, San FranciscoSales price: 620000Sales date: 02/09/2016Bedrooms: 1Square feet: 706Lot size: 105806,601 Van Ness Ave APT 629,1,1,706,02/09/2016,620000,37.781386,-122.421406,Van Ness - Civic Center,3,Condominium,1982,623886,"855,500",94102,15077721
90,Address: 260 King Street #815, San FranciscoSales price: 800000Sales date: 02/09/2016Bedrooms: 1Square feet: 903Lot size: 213232,260 King St UNIT 815,1,1,903,02/09/2016,800000,37.777641,-122.393417,South of Market,3,Condominium,2004,807995,"975,700",94107,69819637
92,Address: 2040 Fell Street #12, San FranciscoSales price: 872500Sales date: 02/09/2016Bedrooms: 0Square feet: 1593Lot size: 33772,2040 Fell St APT 12,1,2,1593,02/09/2016,872500,37.772597,-122.451587,North Panhandle,4,Condominium,1925,996489,"1,231,800",94117,15086324
93,Address: 784 Spruce Street, San FranciscoSales price: 1535000Sales date: 02/09/2016Bedrooms: 0Square feet: 2060Lot size: 2495,784-786 Spruce St,3,8,2600,02/09/2016,1535000,37.780606,-122.452663,Lone Mountain,10,MultiFamily2To4,1927,1524759,"1,447,700",94118,15083824
95,Address: 1444 17th Avenue #101, San FranciscoSales price: 1600000Sales date: 02/09/2016Bedrooms: 2Square feet: 1902Lot size: 3000,1444 17th Ave # 101,3,3,1902,02/09/2016,1600000,37.760979,-122.474469,Inner Sunset,6,Condominium,1996,1419587,"1,357,900",94122,15105664
96,Address: 1618 12th Avenue, San FranciscoSales price: 1625000Sales date: 02/09/2016Bedrooms: 0Square feet: 2349Lot size: 3015,1618 12th Ave,3,4,2900,02/09/2016,1625000,37.757906,-122.468775,Inner Sunset,8,Condominium,2001,1597121,"1,357,900",94122,59718406
98,Address: 5696 Diamond Heights Boulevard, San FranciscoSales price: 2050000Sales date: 02/09/2016Bedrooms: 3Square feet: 2435Lot size: 2585,5696 Diamond Heights Blvd,3.5,3,2435,02/09/2016,2050000,37.738831,-122.439262,Diamond Heights,7,SingleFamily,1980,2016900,"1,098,500",94131,15199559
103,Address: 901 Post Street #2, San FranciscoSales price: 885000Sales date: 02/08/2016Bedrooms: 3Square feet: 1207Lot size: 700,901 Post St # 2,2,3,1207,02/08/2016,885000,37.787089,-122.416761,Downtown,9,Condominium,2002,1626076,"807,800",94109,61325028
104,Address: 66 Cleary Court #1504, San FranciscoSales price: 960000Sales date: 02/08/2016Bedrooms: 3Square feet: 1106Lot size: 65376,66 Cleary Ct APT 1504,2,3,1106,02/08/2016,960000,37.784298,-122.427058,Western Addition,6,Condominium,1963,957064,"983,400",94109,15076984
105,Address: 1800 Bryant Street #202, San FranciscoSales price: 825000Sales date: 02/08/2016Bedrooms: 1Square feet: 935Lot size: 14972,1800 Bryant St STE 202,2,1,935,02/08/2016,825000,37.764088,-122.410828,Mission,3,Condominium,2000,889532,"1,185,400",94110,54487721
106,Address: 3919 17th Street, San FranciscoSales price: 1065000Sales date: 02/08/2016Bedrooms: 1Square feet: 968Lot size: 1584,3919 17th St,1,2,968,02/08/2016,1065000,37.76241,-122.433456,Eureka Valley - Dolores Heights - Castro,4,MultiFamily2To4,1910,989982,"1,744,100",94114,63158562
108,Address: 325 Locust Street, San FranciscoSales price: 1925000Sales date: 02/08/2016Bedrooms: 3Square feet: 1950Lot size: 312,325 Locust St,2,3,1950,02/08/2016,1925000,37.787916,-122.452338,Presidio Heights,7,Condominium,1905,2521256,"5,333,500",94118,50883158
109,Address: 50 Longview Court, San FranciscoSales price: 1250000Sales date: 02/08/2016Bedrooms: 3Square feet: 1703Lot size: 2805,50 Longview Ct,2,4,1703,02/08/2016,1250000,37.748415,-122.450795,Midtown Terrace,8,SingleFamily,1955,1358996,"1,117,200",94131,15131999
116,Address: 2243 Franklin Street, San FranciscoSales price: 1950000Sales date: 02/05/2016Bedrooms: 2Square feet: 1463Lot size: 3582,2243 Franklin St,2,2,1463,02/05/2016,1950000,37.795139,-122.425309,Pacific Heights,7,Condominium,1900,1922387,"1,910,700",94109,15073030
117,Address: 576 Brunswick Street, San FranciscoSales price: 609000Sales date: 02/05/2016Bedrooms: 0Square feet: 1200Lot size: 2661,576 Brunswick St,1,2,1200,02/05/2016,609000,37.710208,-122.445075,Crocker Amazon,5,SingleFamily,1931,637413,"823,000",94112,15179045
118,Address: 79 Seward Street, San FranciscoSales price: 2350000Sales date: 02/05/2016Bedrooms: 3Square feet: 2650Lot size: 2622,79 Seward St,2,3,2650,02/05/2016,2350000,37.758626,-122.440801,Eureka Valley - Dolores Heights - Castro,8,SingleFamily,1929,2211797,"1,744,100",94114,15129566
120,Address: 2105 Buchanan Street #6, San FranciscoSales price: 1770000Sales date: 02/05/2016Bedrooms: 2Square feet: 1700Lot size: 4668,2105 Buchanan St APT 6,2,3,1700,02/05/2016,1770000,37.789597,-122.430787,Pacific Heights,5,Condominium,1921,1137507,"1,910,700",94115,15074690
121,Address: 2017 Buchanan Street, San FranciscoSales price: 2800000Sales date: 02/05/2016Bedrooms: 4Square feet: 2850Lot size: 2152,2017 Buchanan St,4,4,2850,02/05/2016,2800000,37.788913,-122.430728,Lower Pacific Heights,7,Condominium,1890,3032479,"1,178,700",94115,21699068
122,Address: 1015 Ashbury Street #2, San FranciscoSales price: 1350000Sales date: 02/05/2016Bedrooms: 0Square feet: 1147Lot size: 4988,1015 Ashbury St APT 2,2,2,1252,02/05/2016,1350000,37.76432,-122.446342,Parnassus - Ashbury,4,Condominium,1913,1300995,"2,151,400",94117,79843553
125,Address: 170 Bridgeview Drive, San FranciscoSales price: 725000Sales date: 02/05/2016Bedrooms: 3Square feet: 1297Lot size: 3070,170 Bridgeview Dr,2,3,1297,02/05/2016,725000,37.735503,-122.397062,Silver Terrace,6,SingleFamily,1964,797170,"736,700",94124,15157051
126,Address: 884 Ingerson Avenue, San FranciscoSales price: 850000Sales date: 02/05/2016Bedrooms: 0Square feet: 1789Lot size: 2495,884 Ingerson Ave,3,5,1789,02/05/2016,850000,37.71805,-122.390617,Bayview,8,SingleFamily,1964,910894,"731,900",94124,15154657
127,Address: 475 Princeton Street, San FranciscoSales price: 860000Sales date: 02/05/2016Bedrooms: 0Square feet: 1254Lot size: 1751,475 Princeton St,1,2,1254,02/05/2016,860000,37.72396,-122.413872,Portola,5,SingleFamily,1949,789444,"888,400",94134,15170072
133,Address: 333 1st Street #1702, San FranciscoSales price: 885000Sales date: 02/04/2016Bedrooms: 1Square feet: 713Lot size: 38571,333 1st St UNIT 1702,1,1,713,02/04/2016,885000,37.787031,-122.393642,South Beach,3,Condominium,2004,903954,"1,286,900",94105,64972552
136,Address: 861 Rhode Island Street #A, San FranciscoSales price: 1110000Sales date: 02/04/2016Bedrooms: 3Square feet: 1995Lot size: 2495,961A Rhode Island St,2.5,4,2166,06/11/2015,1600000,37.757681,-122.401578,Potrero Hill,11,MultiFamily2To4,1908,1599122,"1,277,600",94107,15150449
140,Address: 415 Amherst Street, San FranciscoSales price: 760000Sales date: 02/04/2016Bedrooms: 0Square feet: 1000Lot size: 1751,415 Amherst St,1,2,1000,02/04/2016,760000,37.724352,-122.415124,Portola,4,SingleFamily,1949,765401,"888,400",94134,15170058
147,Address: 201 Holly Park Circle, San FranciscoSales price: 227500Sales date: 02/03/2016Bedrooms: 3Square feet: 2250Lot size: 1712,201 Holly Park Cir,2,3,2250,02/03/2016,227500,37.737764,-122.418634,Bernal Heights,8,SingleFamily,1910,1402002,"1,248,000",94110,15163518
148,Address: 30 Otsego Avenue, San FranciscoSales price: 1300000Sales date: 02/03/2016Bedrooms: 3Square feet: 1806Lot size: 3140,30 Otsego Ave,2,3,1806,02/03/2016,1300000,37.726945,-122.439334,Mission Terrace,7,SingleFamily,1924,1211468,"992,600",94112,15140181
152,Address: 80 Venus Street, San FranciscoSales price: 810000Sales date: 02/03/2016Bedrooms: 0Square feet: 1200Lot size: 2487,80 Venus St,1.5,3,1200,02/03/2016,810000,37.731771,-122.397584,Silver Terrace,5,SingleFamily,1941,696627,"736,700",94124,15157490
154,Address: 1816 Castro Street, San FranciscoSales price: 850000Sales date: 02/03/2016Bedrooms: 0Square feet: 884Lot size: 3180,1816 Castro St,1,2,884,02/03/2016,850000,37.747035,-122.433868,Noe Valley,5,Condominium,1918,1027971,"1,782,000",94131,89236680
156,Address: 149 Laidley Street, San FranciscoSales price: 1950000Sales date: 02/03/2016Bedrooms: 3Square feet: 2100Lot size: 2500,149 Laidley St,2,3,2100,02/03/2016,1950000,37.739623,-122.428899,Glen Park,10,SingleFamily,1900,1880749,"1,660,200",94131,15184023
160,Address: 737 Tehama Street #1, San FranciscoSales price: 1030000Sales date: 02/02/2016Bedrooms: 2Square feet: 883Lot size: 1554,737 Tehama St # 1,2,2,977,02/02/2016,1030000,37.775184,-122.411567,South of Market,5,Condominium,2006,1004132,"975,700",94103,79845585
164,Address: 319 De Long Street, San FranciscoSales price: 565000Sales date: 02/02/2016Bedrooms: 2Square feet: 875Lot size: 2256,319 De Long St,1,2,875,02/02/2016,565000,37.709411,-122.465031,Outer Mission,4,SingleFamily,1950,642369,"814,200",94112,15196286
165,Address: 1655 48th Avenue, San FranciscoSales price: 762000Sales date: 02/02/2016Bedrooms: 0Square feet: 697Lot size: 2996,1655 48th Ave,1,2,697,02/02/2016,762000,37.755586,-122.508063,Outer Sunset,4,SingleFamily,1904,711217,"1,031,800",94122,15108054
173,Address: 4219 Folsom Street, San FranciscoSales price: 950000Sales date: 02/01/2016Bedrooms: 0Square feet: 1539Lot size: 1751,4219 Folsom St,2,3,1539,02/01/2016,950000,37.734334,-122.413534,Bernal Heights,7,SingleFamily,1976,965984,"1,248,000",94110,15164756
188,Address: 403 Main Street #518N, San FranciscoSales price: 1415000Sales date: 01/29/2016Bedrooms: 2Square feet: 1118Lot size: 29037,403 Main St APT 518N,2,2,1118,01/29/2016,1415000,37.788008,-122.389643,South Beach,5,Condominium,1997,1277409,"1,286,900",94105,15148615
190,Address: 188 Minna Street #38C, San FranciscoSales price: 7500000Sales date: 01/29/2016Bedrooms: 2Square feet: 1670Lot size: 33056,188 Minna St APT 38C,2.5,2,1670,01/29/2016,7500000,37.786289,-122.401374,Yerba Buena,5,Condominium,2005,4118863,"1,006,900",94105,69819214
193,Address: 1200 Gough Street #22B, San FranciscoSales price: 650000Sales date: 01/29/2016Bedrooms: 1Square feet: 550Lot size: 44676,1200 Gough St APT 22B,1,0,550,01/29/2016,650000,37.78482,-122.423994,Van Ness - Civic Center,2,Condominium,1966,667585,"855,500",94109,15077111
194,Address: 979 Guerrero Street, San FranciscoSales price: 1275000Sales date: 01/29/2016Bedrooms: 2Square feet: 1440Lot size: 0,979 Guerrero St,2,3,1440,01/29/2016,1275000,37.755554,-122.42316,Mission,7,Condominium,1885,1472631,"1,185,400",94110,119685723
196,Address: 1940 Buchanan Street, San FranciscoSales price: 1250000Sales date: 01/29/2016Bedrooms: 2Square feet: 1480Lot size: 1851,1940 Buchanan St,1,3,1480,01/29/2016,1250000,37.788038,-122.430024,Lower Pacific Heights,5,Condominium,1904,1574733,"1,178,700",94115,15075414
198,Address: 2275 47th Avenue, San FranciscoSales price: 1225000Sales date: 01/29/2016Bedrooms: 0Square feet: 2193Lot size: 2996,2275 47th Ave,2.5,4,2193,01/29/2016,1225000,37.744067,-122.506187,Outer Parkside,7,SingleFamily,1962,1358925,"981,900",94116,15118457
199,Address: 988 Fulton Street #326, San FranciscoSales price: 555000Sales date: 01/29/2016Bedrooms: 1Square feet: 417Lot size: 41262,988 Fulton St APT 326,1,1,417,01/29/2016,555000,37.778034,-122.43251,Western Addition,5,Condominium,1999,588432,"983,400",94117,79845444
200,Address: 487 19th Avenue, San FranciscoSales price: 1900000Sales date: 01/29/2016Bedrooms: 4Square feet: 2596Lot size: 2063,487 19th Ave,4,4,2596,01/29/2016,1900000,37.778728,-122.478448,Central Richmond,9,SingleFamily,1916,2102133,"1,485,300",94121,15093995
203,Address: 448 Gold Mine Drive, San FranciscoSales price: 1558000Sales date: 01/29/2016Bedrooms: 4Square feet: 2275Lot size: 2935,448 Gold Mine Dr,3,4,2200,01/29/2016,1558000,37.739244,-122.4371,Diamond Heights,7,SingleFamily,1968,1775216,"1,098,500",94131,15199573
204,Address: 8200 Oceanview Terrace #310, San FranciscoSales price: 658000Sales date: 01/29/2016Bedrooms: 2Square feet: 969Lot size: 325629,8200 Oceanview Ter APT 310,2,2,969,01/29/2016,658000,37.71048,-122.467645,Ingleside Heights,4,Condominium,2002,629228,"710,500",94132,67394879
216,Address: 750 Delano Avenue, San FranciscoSales price: 738000Sales date: 01/28/2016Bedrooms: 2Square feet: 840Lot size: 1680,750 Delano Ave,1,2,840,01/28/2016,738000,37.719505,-122.445759,Outer Mission,4,SingleFamily,1987,715379,"814,200",94112,15188832
217,Address: 5 Lobos Street, San FranciscoSales price: 950000Sales date: 01/28/2016Bedrooms: 4Square feet: 1726Lot size: 5871,5 Lobos St,2,4,1726,01/28/2016,950000,37.714682,-122.452504,Oceanview,7,SingleFamily,1974,939221,"762,700",94112,15194340
218,Address: 4524 Balboa Street, San FranciscoSales price: 961000Sales date: 01/28/2016Bedrooms: 2Square feet: 1200Lot size: 3162,4524 Balboa St,1,2,1200,01/28/2016,961000,37.775504,-122.507477,Outer Richmond,5,SingleFamily,1918,913987,"1,214,000",94121,15096451
221,Address: 527 Randolph Street, San FranciscoSales price: 695500Sales date: 01/28/2016Bedrooms: 0Square feet: 950Lot size: 1973,527 Randolph St,1,2,950,01/28/2016,695500,37.714051,-122.467584,Ingleside Heights,4,SingleFamily,1947,643848,"710,500",94132,15195083
222,Address: 1407 Montgomery Street #2, San FranciscoSales price: 976000Sales date: 01/28/2016Bedrooms: 0Square feet: 1028Lot size: 2187,1407 Montgomery St APT 2,1,1,1000,01/28/2016,976000,37.802299,-122.404941,Telegraph Hill,3,Condominium,1870,1044112,"1,238,700",94133,15065140
229,Address: 574 Natoma Street #102, San FranciscoSales price: 502000Sales date: 01/27/2016Bedrooms: 0Square feet: 376Lot size: 0,574 Natoma St APT 102,1,0,376,01/27/2016,502000,37.779014,-122.409446,South of Market,1,Condominium,2012,513968,"975,700",94103,119685119
239,Address: 65 Bishop Street, San FranciscoSales price: 675000Sales date: 01/27/2016Bedrooms: 0Square feet: 800Lot size: 2500,65 Bishop St,1,3,800,01/27/2016,675000,37.718075,-122.404179,Visitacion Valley,4,SingleFamily,1900,692286,"707,100",94134,15172626
253,Address: 701 Pennsylvania Avenue, San FranciscoSales price: 850000Sales date: 01/26/2016Bedrooms: 1Square feet: 756Lot size: 7569,701 Pennsylvania Ave # T13,2,1,842,03/24/2015,640000,37.75738,-122.39283,Potrero Hill,2,Condominium,1999,905401,"1,277,600",94107,58770199
254,Address: 88 King Street #1121, San FranciscoSales price: 1650000Sales date: 01/26/2016Bedrooms: 2Square feet: 1111Lot size: 82157,88 King St UNIT 1121,2,2,1111,01/26/2016,1650000,37.780117,-122.389648,South Beach,4,MultiFamily2To4,2000,1376614,"1,286,900",94107,80732286
255,Address: 57 Moneta Way, San FranciscoSales price: 860000Sales date: 01/26/2016Bedrooms: 0Square feet: 1325Lot size: 2339,57 Moneta Way,1,4,1325,01/26/2016,860000,37.712918,-122.449446,Outer Mission,6,SingleFamily,1929,932005,"814,200",94112,15194044
