data_entrada_brasil;data_cadastro;dif_dtcad_dtingr_meses;sexo;fx_etaria;pais_origem;distrito_moradia;condicoes_moradia;cidade_ingresso;cor_raca;escolaridade;situacao_migratoria;fonte_renda;sabendo_crai;demanda_1
13/03/2015;04/12/2017;32;Masculino;50 a 59 anos;África do Sul;Outro Município;Em situação de rua;Guarulhos;Branca;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Regularização migratória
13/10/2017;31/01/2018;3;Masculino;18 a 29 anos;África do Sul;República;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
21/07/2015;06/02/2018;30;Feminino;30 a 39 anos;África do Sul;Penha;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Visto temporário;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Outros;Regularização migratória
16/12/2014;15/02/2018;37;Feminino;30 a 39 anos;África do Sul;Moóca;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Outros;Desempregado;Amigos ou parentes;Regularização migratória
01/08/2013;12/03/2018;55;Feminino;30 a 39 anos;África do Sul;Guaianases;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto permanente;Desempregado;Serviço público;Regularização migratória
21/06/2015;22/03/2018;33;Feminino;40 a 49 anos;África do Sul;Moóca;Casa de parente ou amigo;Guarulhos;Outras;Ensino médio completo;Outros;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
08/03/2018;04/04/2018;0;Feminino;40 a 49 anos;África do Sul;Outro Município;Em situação de rua;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Instituições ou organizações;Vaga em Centro de Acolhida
24/01/2012;24/04/2018;75;Feminino;40 a 49 anos;África do Sul;Pari;Centro de Acolhida;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
12/05/2009;25/04/2018;107;Masculino;Maiores de 60 anos;África do Sul;Bela Vista;Centro de Acolhida;Guarulhos;Branca;Ensino superior completo;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Instituições ou organizações;Demandas diversas
01/11/2010;18/05/2018;90;Masculino;18 a 29 anos;África do Sul;Itaim Paulista;Aluguel ou pensão;Foz do Iguaçu;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
01/01/2015;20/06/2018;41;Masculino;40 a 49 anos;África do Sul;Penha;Centro de Acolhida;Guarulhos;Não respondeu;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Regularização migratória
13/05/2013;20/06/2018;61;Feminino;Maiores de 60 anos;África do Sul;Penha;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Outros;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Instituições ou organizações;Regularização migratória
01/03/2016;09/08/2018;29;Masculino;50 a 59 anos;África do Sul;Bela Vista;Em situação de rua;Guarulhos;Branca;Ensino médio completo;Outros;Desempregado;Serviço público;Vaga em Centro de Acolhida
24/02/2016;13/08/2018;29;Feminino;50 a 59 anos;África do Sul;Bela Vista;Outros;Guarulhos;Preta;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Outros;Vaga em Centro de Acolhida
26/08/2017;03/09/2018;12;Masculino;30 a 39 anos;África do Sul;Outro Município;Hotel;Guarulhos;Branca;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Vaga em Centro de Acolhida
08/09/2014;17/10/2018;49;Feminino;30 a 39 anos;África do Sul;Penha;Centro de Acolhida;Guarulhos;Preta;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Regularização migratória
06/08/2017;17/10/2018;14;Feminino;30 a 39 anos;África do Sul;Outro Município;Outros;Guarulhos;Preta;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Outros;Vaga em Centro de Acolhida
07/07/2018;29/10/2018;3;Feminino;40 a 49 anos;África do Sul;Outro Município;Em situação de rua;Guarulhos;Preta;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
20/02/2014;14/11/2018;56;Feminino;40 a 49 anos;África do Sul;Itaquera;Aluguel ou pensão;Guarulhos;Preta;Ensino superior completo;Solicitante de refúgio;Desempregado;Instituições ou organizações;Regularização migratória
28/04/2013;13/03/2019;70;Masculino;40 a 49 anos;África do Sul;Barra Funda;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Refugiado;Trabalhador autônomo;Amigos ou parentes;Regularização migratória
24/10/2011;01/04/2019;89;Feminino;40 a 49 anos;África do Sul;Santana;Ocupação;Guarulhos;Não respondeu;Ensino superior completo;Solicitante de refúgio;Trabalhador CLT;Amigos ou parentes;Regularização migratória
14/05/2015;12/04/2019;46;Feminino;30 a 39 anos;África do Sul;Outro Município;Casa própria;Guarulhos;Parda;Ensino médio completo;Outros;Outros;Amigos ou parentes;Vaga em Centro de Acolhida
23/06/2014;24/04/2019;58;Feminino;40 a 49 anos;África do Sul;Brás;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Trabalhador CLT;Amigos ou parentes;Regularização migratória
01/07/2015;18/6/19 0:00;47;Masculino;50 a 59 anos;África do Sul;Outro Município ou Recém-chegado;Em situação de rua;Guarulhos;Branca;Ensino superior incompleto;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
22/06/2019;3/7/19 0:00;0;Masculino;40 a 49 anos;África do Sul;Bela Vista;Em situação de rua;Guarulhos;Não respondeu;Ensino superior completo;Visto de turismo;Desempregado;Serviço público;Regularização migratória
22/06/2019;05/08/2019;1;Masculino;40 a 49 anos;África do Sul;Pari;Centro de Acolhida;Guarulhos;Branca;Ensino médio completo;Outros;Desempregado;Instituições ou organizações;Regularização migratória
06/08/2019;04/09/2019;0;Masculino;30 a 39 anos;África do Sul;Outro Município ou Recém-chegado;Em situação de rua;Guarulhos;Não respondeu;Ensino fundamental incompleto;Indocumentado/ Irregular;Desempregado;Serviço público;Demandas diversas
17/03/2008;24/09/2019;138;Feminino;40 a 49 anos;África do Sul;Outro Município ou Recém-chegado;Casa de parente ou amigo;Guarulhos;Branca;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Regularização migratória
15/12/2017;02/10/2019;21;Feminino;Maiores de 60 anos;África do Sul;Penha;Centro de Acolhida;Guarulhos;Não respondeu;Ensino fundamental incompleto;Outros;Desempregado;Serviço público;Regularização migratória
11/06/2016;3/6/19 0:00;35;Masculino;30 a 39 anos;Albânia;Liberdade;Em situação de rua;Guarulhos;Branca;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Vaga em Centro de Acolhida
28/05/2016;4/6/19 0:00;36;Masculino;30 a 39 anos;Albânia;Santana;Centro de Acolhida;Guarulhos;Branca;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Serviço público;Regularização migratória
26/06/2016;30/06/2016;0;Masculino;40 a 49 anos;Alemanha;Itaquera;Casa de parente ou amigo;Não informado;Parda;Ensino superior completo;Outros;Não informado;Não informado;Regularização migratória
23/06/2013;21/11/2016;40;Feminino;Maiores de 60 anos;Alemanha;Penha;Centro de Acolhida;Guarulhos;Branca;Ensino médio completo;Outros;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Vaga em Centro de Acolhida
01/02/2017;06/03/2017;1;Masculino;18 a 29 anos;Alemanha;Moema;Casa de parente ou amigo;Guarulhos;Não respondeu;Ensino superior incompleto;Visto de turismo;Desempregado;Instituições ou organizações;Regularização migratória
18/08/2018;17/09/2018;0;Feminino;18 a 29 anos;Alemanha;Campo Limpo;Outros;Guarulhos;Branca;Ensino superior incompleto;Visto temporário;Desempregado;Amigos ou parentes;Regularização migratória
18/08/2016;07/01/2019;28;Feminino;40 a 49 anos;Alemanha;Vila Matilde;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Instituições ou organizações;Reinserção no mercado de trabalho
22/01/2018;4/6/19 0:00;16;Masculino;Maiores de 60 anos;Alemanha;Outro Município ou Recém-chegado;Em situação de rua;Rio de Janeiro;Branca;Ensino superior completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Demandas diversas
01/01/2015;16/02/2017;25;Masculino;18 a 29 anos;Andorra;Bela Vista;Em situação de rua;Rio de Janeiro;Preta;Ensino superior incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
23/10/2017;06/11/2017;0;Masculino;18 a 29 anos;Andorra;Outro Município;Casa de parente ou amigo;Guarulhos;Branca;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
Não informado;24/11/2014;Não informado;Feminino;40 a 49 anos;Angola;Não informado;Aluguel ou pensão;Não informado;Preta;Ensino superior completo;Indocumentado/ Irregular;Não informado;Não informado;Não informado
Não informado;01/12/2014;Não informado;Masculino;18 a 29 anos;Angola;Não informado;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Refugiado;Não informado;Não informado;Não informado
Não informado;04/12/2014;Não informado;Feminino;18 a 29 anos;Angola;Não informado;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
Não informado;26/01/2015;Não informado;Masculino;40 a 49 anos;Angola;Não informado;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
Não informado;27/01/2015;Não informado;Feminino;30 a 39 anos;Angola;Não informado;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
Não informado;09/02/2015;Não informado;Feminino;40 a 49 anos;Angola;Não informado;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Não informado
Não informado;11/03/2015;Não informado;Feminino;30 a 39 anos;Angola;Não informado;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
Não informado;26/03/2015;Não informado;Masculino;18 a 29 anos;Angola;Não informado;Outros;Não informado;Preta;Ensino médio completo;Visto temporário;Não informado;Não informado;Não informado
Não informado;31/03/2015;Não informado;Masculino;40 a 49 anos;Angola;Não informado;Outros;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Não informado
12/03/2015;20/04/2015;1;Feminino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Não informado;Não frequentou escola;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
21/03/2007;23/04/2015;97;Masculino;18 a 29 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Não informado;Ensino superior incompleto;Visto permanente;Não informado;Não informado;Reinserção no mercado de trabalho
18/04/2015;28/04/2015;0;Feminino;30 a 39 anos;Angola;Sé;Sem moradia;Não informado;Não informado;Não frequentou escola;Indocumentado/ Irregular;Não informado;Não informado;Regularização migratória
10/10/2014;28/04/2015;6;Masculino;40 a 49 anos;Angola;Aricanduva;Aluguel ou pensão;Não informado;Não informado;Ensino médio completo;Refugiado;Não informado;Não informado;Reinserção no mercado de trabalho
06/05/2015;12/05/2015;0;Feminino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
06/05/2015;12/05/2015;0;Feminino;12 a 17 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
06/05/2015;12/05/2015;0;Masculino;12 a 17 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
11/08/2010;26/05/2015;57;Masculino;18 a 29 anos;Angola;Sé;Aluguel ou pensão;Não informado;Preta;Pós-graduação;Visto temporário;Não informado;Não informado;Reinserção no mercado de trabalho
26/01/1993;02/06/2015;268;Masculino;50 a 59 anos;Angola;Liberdade;Casa própria;Não informado;Preta;Ensino superior completo;Visto permanente;Não informado;Não informado;Demandas diversas
13/05/2015;05/06/2015;0;Feminino;30 a 39 anos;Angola;Santo Amaro;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
22/01/2011;08/06/2015;52;Masculino;18 a 29 anos;Angola;Outro Município;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
17/05/2015;09/06/2015;0;Masculino;40 a 49 anos;Angola;Sé;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
25/04/2015;16/06/2015;1;Feminino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino superior incompleto;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
25/11/2011;17/06/2015;42;Masculino;30 a 39 anos;Angola;Penha;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Reinserção no mercado de trabalho
01/07/2015;08/07/2015;0;Masculino;18 a 29 anos;Angola;Grajaú;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
24/06/2015;10/07/2015;0;Masculino;18 a 29 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
21/01/2015;14/07/2015;5;Feminino;18 a 29 anos;Angola;Itaquera;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Regularização migratória
08/04/2012;15/07/2015;39;Masculino;40 a 49 anos;Angola;Brás;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Documentos
22/02/2015;21/07/2015;4;Masculino;12 a 17 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Serviços de assistência social
27/04/2015;23/07/2015;2;Masculino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Parda;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
17/05/2015;18/08/2015;3;Masculino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Demandas diversas
16/08/2015;19/08/2015;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino fundamental incompleto;Indocumentado/ Irregular;Não informado;Não informado;Serviços de assistência social
19/08/2015;28/08/2015;0;Masculino;18 a 29 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
02/05/2015;28/08/2015;3;Masculino;18 a 29 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
02/05/2015;28/08/2015;3;Masculino;18 a 29 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
14/07/2014;04/09/2015;13;Masculino;18 a 29 anos;Angola;República;Ocupação;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
14/06/2015;04/09/2015;2;Masculino;18 a 29 anos;Angola;República;Ocupação;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
29/12/2014;16/09/2015;8;Masculino;12 a 17 anos;Angola;Cidade Ademar;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Indocumentado/ Irregular;Não informado;Não informado;Serviços de assistência social
17/01/2015;23/09/2015;8;Feminino;18 a 29 anos;Angola;Pinheiros;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Visto temporário;Não informado;Não informado;Orientação jurídica
02/03/2015;23/09/2015;6;Masculino;18 a 29 anos;Angola;Pinheiros;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Visto temporário;Não informado;Não informado;Orientação jurídica
26/08/2015;23/09/2015;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Indocumentado/ Irregular;Não informado;Não informado;Regularização migratória
10/12/2010;23/09/2015;57;Feminino;30 a 39 anos;Angola;Outro Município;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Indocumentado/ Irregular;Não informado;Não informado;Regularização migratória
06/03/2015;30/09/2015;6;Feminino;30 a 39 anos;Angola;Belém;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Documentos
27/09/2015;07/10/2015;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/09/2015;07/10/2015;0;Feminino;12 a 17 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Documentos
27/09/2015;16/10/2015;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
30/08/2015;19/10/2015;1;Masculino;30 a 39 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;moradia
10/09/2015;19/10/2015;1;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Moradia
15/10/2015;21/10/2015;0;Feminino;30 a 39 anos;Angola;Sé;Sem moradia;Não informado;Preta;Ensino médio incompleto;Indocumentado/ Irregular;Não informado;Não informado;Moradia
15/10/2015;21/10/2015;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Serviços de assistência social
23/12/2014;27/10/2015;10;Masculino;30 a 39 anos;Angola;Bela Vista;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
23/03/2011;27/10/2015;55;Feminino;40 a 49 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Visto permanente;Não informado;Não informado;Reinserção no mercado de trabalho
13/11/2014;28/10/2015;11;Feminino;18 a 29 anos;Angola;Itaquera;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Reinserção no mercado de trabalho
16/08/2015;28/10/2015;2;Masculino;40 a 49 anos;Angola;República;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
05/05/2015;04/11/2015;5;Feminino;40 a 49 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
16/08/2014;04/11/2015;14;Masculino;18 a 29 anos;Angola;Penha;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Visto temporário;Não informado;Não informado;Serviços de assistência social
28/10/2015;12/11/2015;0;Masculino;18 a 29 anos;Angola;Pinheiros;Centro de Acolhida;Não informado;Preta;Ensino superior incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
